Action name, Thread name, Action timestamp
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A location was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
The details for an event were selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A location was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
The details for an event were selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A location was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
The details for an event were selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A location was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A ticket was selected from database., http-nio-8080-exec-4, 01.06.2020 01.45.43
The number of available seats to an event was increased., http-nio-8080-exec-4, 01.06.2020 01.45.43
A ticket was removed from database., http-nio-8080-exec-4, 01.06.2020 01.45.43
A ticket was selected from database., http-nio-8080-exec-5, 01.06.2020 01.45.44
The number of available seats to an event was increased., http-nio-8080-exec-5, 01.06.2020 01.45.44
A ticket was removed from database., http-nio-8080-exec-5, 01.06.2020 01.45.44
A client was selected from database., http-nio-8080-exec-6, 01.06.2020 19.46.47
A client was logged., http-nio-8080-exec-6, 01.06.2020 19.46.47
All event details were selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
A location was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
A location was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
A location was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
A location was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
An event was selected from database., http-nio-8080-exec-9, 01.06.2020 19.46.48
